Entity,Code,Year,Research and development expenditure (% of GDP)
Azerbaijan,AZE,2020,0.22435
Bahrain,BHR,2014,0.10116
Belarus,BLR,1996,0.99852
Belarus,BLR,1997,0.73
Belarus,BLR,1998,0.70578
Belarus,BLR,1999,0.84523
Belarus,BLR,2000,0.7221
Belarus,BLR,2001,0.70876
Belarus,BLR,2002,0.6209
Belarus,BLR,2003,0.61147
Belarus,BLR,2004,0.62759
Belarus,BLR,2005,0.67852
Belarus,BLR,2006,0.66065
Belarus,BLR,2007,0.96203
Belarus,BLR,2008,0.74147
Belarus,BLR,2009,0.62167
Belarus,BLR,2010,0.66913
Belarus,BLR,2011,0.6776
Belarus,BLR,2012,0.64603
Belarus,BLR,2013,0.65191
Belarus,BLR,2014,0.50548
Belarus,BLR,2015,0.49999
Belarus,BLR,2016,0.50063
Belarus,BLR,2017,0.58411
Belarus,BLR,2018,0.60443
Belarus,BLR,2019,0.57733
Belarus,BLR,2020,0.54897
Belgium,BEL,1996,1.74299
Belgium,BEL,1997,1.80971
Belgium,BEL,1998,1.83825
Belgium,BEL,1999,1.90565
Belgium,BEL,2000,1.93619
Belgium,BEL,2001,2.03279
Belgium,BEL,2002,1.90325
Belgium,BEL,2003,1.84119
Belgium,BEL,2004,1.8205
Belgium,BEL,2005,1.79061
Belgium,BEL,2006,1.82269
Belgium,BEL,2007,1.84999
Belgium,BEL,2008,1.93684
Belgium,BEL,2009,1.9986
Belgium,BEL,2010,2.06188
Belgium,BEL,2011,2.17332
Belgium,BEL,2012,2.28114
Belgium,BEL,2013,2.33073
Belgium,BEL,2014,2.37002
Belgium,BEL,2015,2.42817
Belgium,BEL,2016,2.52338
Belgium,BEL,2017,2.66666
Belgium,BEL,2018,2.86031
Belgium,BEL,2019,3.16
Belgium,BEL,2020,3.4772
Bermuda,BMU,1997,0.05885
Bermuda,BMU,2007,0.16026
Bermuda,BMU,2008,0.16848
Bermuda,BMU,2009,0.18235
Bermuda,BMU,2010,0.1805
Bermuda,BMU,2011,0.26195
Bermuda,BMU,2012,0.23355
Bermuda,BMU,2013,0.1963
Bermuda,BMU,2014,0.19083
Bermuda,BMU,2015,0.19507
Bermuda,BMU,2018,0.22856
Bermuda,BMU,2019,0.26237
Bermuda,BMU,2020,0.22693
Bolivia,BOL,1996,0.32544
Bolivia,BOL,1997,0.31577
Bolivia,BOL,1998,0.29495
Bolivia,BOL,1999,0.29836
Bolivia,BOL,2000,0.28744
Bolivia,BOL,2001,0.29358
Bolivia,BOL,2002,0.27663
Bolivia,BOL,2009,0.157
Bosnia and Herzegovina,BIH,2003,0.01826
Bosnia and Herzegovina,BIH,2004,0.0159
Bosnia and Herzegovina,BIH,2005,0.02697
Bosnia and Herzegovina,BIH,2006,0.01969
Bosnia and Herzegovina,BIH,2007,0.02521
Bosnia and Herzegovina,BIH,2008,0.01842
Bosnia and Herzegovina,BIH,2009,0.02106
Bosnia and Herzegovina,BIH,2012,0.26533
Bosnia and Herzegovina,BIH,2013,0.32132
Bosnia and Herzegovina,BIH,2014,0.25725
Bosnia and Herzegovina,BIH,2015,0.2186
Bosnia and Herzegovina,BIH,2016,0.21594
Bosnia and Herzegovina,BIH,2017,0.20048
Bosnia and Herzegovina,BIH,2018,0.19485
Bosnia and Herzegovina,BIH,2019,0.19264
Bosnia and Herzegovina,BIH,2020,0.20614
Botswana,BWA,2005,0.53286
Botswana,BWA,2012,0.2588
Botswana,BWA,2013,0.53728
Brazil,BRA,2000,1.04751
Brazil,BRA,2001,1.06198
Brazil,BRA,2002,1.00968
Brazil,BRA,2003,0.99939
Brazil,BRA,2004,0.96343
Brazil,BRA,2005,1.00246
Brazil,BRA,2006,0.98807
Brazil,BRA,2007,1.08138
Brazil,BRA,2008,1.12904
Brazil,BRA,2009,1.11866
Brazil,BRA,2010,1.15992
Brazil,BRA,2011,1.13966
Brazil,BRA,2012,1.12684
Brazil,BRA,2013,1.19567
Brazil,BRA,2014,1.26971
Brazil,BRA,2015,1.37093
Brazil,BRA,2016,1.28637
Brazil,BRA,2017,1.1175
Brazil,BRA,2018,1.16769
Brazil,BRA,2019,1.20803
Brunei,BRN,2002,0.01592
Brunei,BRN,2003,0.01842
Brunei,BRN,2004,0.03701
Brunei,BRN,2018,0.27763
Bulgaria,BGR,1996,0.41826
Bulgaria,BGR,1997,0.46548
Bulgaria,BGR,1998,0.48223
Bulgaria,BGR,1999,0.53688
Bulgaria,BGR,2000,0.49517
Bulgaria,BGR,2001,0.44709
Bulgaria,BGR,2002,0.46473
Bulgaria,BGR,2003,0.47222
Bulgaria,BGR,2004,0.47086
Bulgaria,BGR,2005,0.44269
Bulgaria,BGR,2006,0.44216
Bulgaria,BGR,2007,0.4303
Bulgaria,BGR,2008,0.44766
Bulgaria,BGR,2009,0.49338
Bulgaria,BGR,2010,0.56307
Bulgaria,BGR,2011,0.52951
Bulgaria,BGR,2012,0.60036
Bulgaria,BGR,2013,0.63433
Bulgaria,BGR,2014,0.79005
Bulgaria,BGR,2015,0.94917
Bulgaria,BGR,2016,0.76976
Bulgaria,BGR,2017,0.73995
Bulgaria,BGR,2018,0.75379
Bulgaria,BGR,2019,0.83237
Bulgaria,BGR,2020,0.85351
Burkina Faso,BFA,1996,0.15834
Burkina Faso,BFA,1997,0.18104
Burkina Faso,BFA,2001,0.16816
Burkina Faso,BFA,2002,0.30111
Burkina Faso,BFA,2003,0.24112
Burkina Faso,BFA,2004,0.21514
Burkina Faso,BFA,2005,0.15166
Burkina Faso,BFA,2007,0.09836
Burkina Faso,BFA,2008,0.16568
Burkina Faso,BFA,2009,0.17787
Burkina Faso,BFA,2014,0.19719
Burkina Faso,BFA,2017,0.61361
Burkina Faso,BFA,2019,0.17278
Burkina Faso,BFA,2020,0.24824
Burundi,BDI,2007,0.20068
Burundi,BDI,2008,0.15417
Burundi,BDI,2009,0.14096
Burundi,BDI,2010,0.13719
Burundi,BDI,2012,0.10702
Burundi,BDI,2018,0.21312
Cambodia,KHM,2002,0.0498
Cambodia,KHM,2015,0.11823
Canada,CAN,1996,1.61209
Canada,CAN,1997,1.61386
Canada,CAN,1998,1.71051
Canada,CAN,1999,1.74985
Canada,CAN,2000,1.85848
Canada,CAN,2001,2.02117
Canada,CAN,2002,1.97171
Canada,CAN,2003,1.96781
Canada,CAN,2004,1.99734
Canada,CAN,2005,1.97127
Canada,CAN,2006,1.94304
Canada,CAN,2007,1.90358
Canada,CAN,2008,1.85578
Canada,CAN,2009,1.91742
Canada,CAN,2010,1.82528
Canada,CAN,2011,1.78714
Canada,CAN,2012,1.77232
Canada,CAN,2013,1.7054
Canada,CAN,2014,1.71417
Canada,CAN,2015,1.69324
Canada,CAN,2016,1.72873
Canada,CAN,2017,1.6858
Canada,CAN,2018,1.67917
Canada,CAN,2019,1.59163
Canada,CAN,2020,1.69781
Cape Verde,CPV,2011,0.07264
Chad,TCD,2016,0.3005
Chile,CHL,2007,0.30957
Chile,CHL,2008,0.37497
Chile,CHL,2009,0.35202
Chile,CHL,2010,0.32947
Chile,CHL,2011,0.35144
Chile,CHL,2012,0.3622
Chile,CHL,2013,0.3887
Chile,CHL,2014,0.37503
Chile,CHL,2015,0.38073
Chile,CHL,2016,0.36934
Chile,CHL,2017,0.35593
Chile,CHL,2018,0.36647
Chile,CHL,2019,0.34095
China,CHN,1996,0.56324
China,CHN,1997,0.63873
China,CHN,1998,0.64689
China,CHN,1999,0.74963
China,CHN,2000,0.89316
China,CHN,2001,0.94033
China,CHN,2002,1.05786
China,CHN,2003,1.12037
China,CHN,2004,1.21498
China,CHN,2005,1.30792
China,CHN,2006,1.36854
China,CHN,2007,1.37369
China,CHN,2008,1.44592
China,CHN,2009,1.6648
China,CHN,2010,1.71372
China,CHN,2011,1.78034
China,CHN,2012,1.91214
China,CHN,2013,1.99786
China,CHN,2014,2.02243
China,CHN,2015,2.05701
China,CHN,2016,2.10033
China,CHN,2017,2.11603
China,CHN,2018,2.14058
China,CHN,2019,2.24463
China,CHN,2020,2.40093
Colombia,COL,1996,0.29923
Colombia,COL,1997,0.27366
Colombia,COL,2000,0.13106
Colombia,COL,2001,0.1329
Colombia,COL,2002,0.15559
Colombia,COL,2003,0.17398
Colombia,COL,2004,0.16964
Colombia,COL,2005,0.16557
Colombia,COL,2006,0.16427
Colombia,COL,2007,0.18307
Colombia,COL,2008,0.19541
Colombia,COL,2009,0.19351
Colombia,COL,2010,0.19358
Colombia,COL,2011,0.19842
Colombia,COL,2012,0.22116
Colombia,COL,2013,0.25761
Colombia,COL,2014,0.30317
Colombia,COL,2015,0.36542
Colombia,COL,2016,0.27051
Colombia,COL,2017,0.26109
Colombia,COL,2018,0.31233
Colombia,COL,2019,0.32169
Colombia,COL,2020,0.28812
Costa Rica,CRI,1996,0.30221
Costa Rica,CRI,1997,0.29569
Costa Rica,CRI,1998,0.26526
Costa Rica,CRI,1999,0.36759
Costa Rica,CRI,2000,0.41135
Costa Rica,CRI,2003,0.3619
Costa Rica,CRI,2004,0.37288
Costa Rica,CRI,2006,0.42693
Costa Rica,CRI,2007,0.35655
Costa Rica,CRI,2008,0.38593
Costa Rica,CRI,2009,0.51718
Costa Rica,CRI,2010,0.4799
Costa Rica,CRI,2011,0.46235
Costa Rica,CRI,2012,0.54713
Costa Rica,CRI,2013,0.54253
Costa Rica,CRI,2014,0.55627
Costa Rica,CRI,2015,0.43665
Costa Rica,CRI,2016,0.44335
Costa Rica,CRI,2017,0.42587
Costa Rica,CRI,2018,0.37144
Cote d'Ivoire,CIV,2016,0.0704
Croatia,HRV,1999,0.83009
Croatia,HRV,2000,1.04097
Croatia,HRV,2001,0.91707
Croatia,HRV,2002,0.94124
Croatia,HRV,2003,0.94169
Croatia,HRV,2004,1.02135
Croatia,HRV,2005,0.84877
Croatia,HRV,2006,0.73391
Croatia,HRV,2007,0.78622
Croatia,HRV,2008,0.88041
Croatia,HRV,2009,0.83825
Croatia,HRV,2010,0.73532
Croatia,HRV,2011,0.74126
Croatia,HRV,2012,0.74185
Croatia,HRV,2013,0.80011
Croatia,HRV,2014,0.77383
Croatia,HRV,2015,0.82948
Croatia,HRV,2016,0.85162
Croatia,HRV,2017,0.84892
Croatia,HRV,2018,0.9523
Croatia,HRV,2019,1.08105
Croatia,HRV,2020,1.24844
Cuba,CUB,1996,0.34736
Cuba,CUB,1997,0.40172
Cuba,CUB,1998,0.50124
Cuba,CUB,1999,0.45832
Cuba,CUB,2000,0.47865
Cuba,CUB,2001,0.5653
Cuba,CUB,2002,0.56445
Cuba,CUB,2003,0.58243
Cuba,CUB,2004,0.60231
Cuba,CUB,2005,0.5492
Cuba,CUB,2006,0.44139
Cuba,CUB,2007,0.43615
Cuba,CUB,2008,0.50061
Cuba,CUB,2009,0.61485
Cuba,CUB,2010,0.60767
Cuba,CUB,2011,0.27192
Cuba,CUB,2012,0.40716
Cuba,CUB,2013,0.47467
Cuba,CUB,2014,0.41596
Cuba,CUB,2015,0.42854
Cuba,CUB,2016,0.34223
Cuba,CUB,2017,0.43066
Cuba,CUB,2018,0.53691
Cuba,CUB,2019,0.55308
Cuba,CUB,2020,0.51838
Cyprus,CYP,1998,0.20331
Cyprus,CYP,1999,0.21806
Cyprus,CYP,2000,0.2269
Cyprus,CYP,2001,0.23694
Cyprus,CYP,2002,0.27967
Cyprus,CYP,2003,0.31834
Cyprus,CYP,2004,0.33564
Cyprus,CYP,2005,0.36727
Cyprus,CYP,2006,0.38346
Cyprus,CYP,2007,0.40007
Cyprus,CYP,2008,0.38594
Cyprus,CYP,2009,0.44437
Cyprus,CYP,2010,0.44409
Cyprus,CYP,2011,0.45389
Cyprus,CYP,2012,0.43888
Cyprus,CYP,2013,0.48607
Cyprus,CYP,2014,0.5136
Cyprus,CYP,2015,0.47689
Cyprus,CYP,2016,0.52202
Cyprus,CYP,2017,0.54439
Cyprus,CYP,2018,0.61583
Cyprus,CYP,2019,0.71463
Cyprus,CYP,2020,0.82234
Czechia,CZE,1996,0.88912
Czechia,CZE,1997,0.98819
Czechia,CZE,1998,1.06022
Czechia,CZE,1999,1.04957
Czechia,CZE,2000,1.10997
Czechia,CZE,2001,1.09871
Czechia,CZE,2002,1.09819
Czechia,CZE,2003,1.1421
Czechia,CZE,2004,1.13935
Czechia,CZE,2005,1.161
Czechia,CZE,2006,1.22542
Czechia,CZE,2007,1.29572
Czechia,CZE,2008,1.23358
Czechia,CZE,2009,1.28656
Czechia,CZE,2010,1.3267
Czechia,CZE,2011,1.54477
Czechia,CZE,2012,1.76967
Czechia,CZE,2013,1.87924
Czechia,CZE,2014,1.95833
Czechia,CZE,2015,1.91689
Czechia,CZE,2016,1.67003
Czechia,CZE,2017,1.76855
Czechia,CZE,2018,1.89945
Czechia,CZE,2019,1.92773
Czechia,CZE,2020,1.99104
Democratic Republic of Congo,COD,2004,0.26777
Democratic Republic of Congo,COD,2005,0.05799
Democratic Republic of Congo,COD,2006,0.06044
Democratic Republic of Congo,COD,2007,0.13609
Democratic Republic of Congo,COD,2008,0.08253
Democratic Republic of Congo,COD,2009,0.07822
Democratic Republic of Congo,COD,2015,0.40638
Denmark,DNK,1996,1.80667
Denmark,DNK,1997,1.88914
Denmark,DNK,1998,2.00619
Denmark,DNK,1999,2.12764
Denmark,DNK,2000,2.1862
Denmark,DNK,2001,2.32466
Denmark,DNK,2002,2.44145
Denmark,DNK,2003,2.51085
Denmark,DNK,2004,2.41916
Denmark,DNK,2005,2.39337
Denmark,DNK,2006,2.403
Denmark,DNK,2007,2.51541
Denmark,DNK,2008,2.77346
Denmark,DNK,2009,3.05514
Denmark,DNK,2010,2.91707
Denmark,DNK,2011,2.94465
Denmark,DNK,2012,2.98125
Denmark,DNK,2013,2.97048
Denmark,DNK,2014,2.91409
Denmark,DNK,2015,3.05497
Denmark,DNK,2016,3.09283
Denmark,DNK,2017,2.93124
Denmark,DNK,2018,2.96603
Denmark,DNK,2019,2.888
Denmark,DNK,2020,2.96154
East Asia and Pacific (WB),,1996,2.1855476
East Asia and Pacific (WB),,1997,2.2609224
East Asia and Pacific (WB),,1998,2.2294316
East Asia and Pacific (WB),,1999,2.299479
East Asia and Pacific (WB),,2000,2.2347667
East Asia and Pacific (WB),,2001,2.2804635
East Asia and Pacific (WB),,2002,2.246578
East Asia and Pacific (WB),,2003,2.329189
East Asia and Pacific (WB),,2004,2.3149214
East Asia and Pacific (WB),,2005,2.3968902
East Asia and Pacific (WB),,2006,2.397482
East Asia and Pacific (WB),,2007,2.3489795
East Asia and Pacific (WB),,2008,2.3521125
East Asia and Pacific (WB),,2009,2.2486718
East Asia and Pacific (WB),,2010,2.3985858
East Asia and Pacific (WB),,2011,2.3292694
East Asia and Pacific (WB),,2012,2.4837143
East Asia and Pacific (WB),,2013,2.2775989
East Asia and Pacific (WB),,2014,2.4750116
East Asia and Pacific (WB),,2015,2.3239377
East Asia and Pacific (WB),,2016,2.339509
East Asia and Pacific (WB),,2017,2.3170886
East Asia and Pacific (WB),,2018,2.3556936
East Asia and Pacific (WB),,2019,2.392883
East Asia and Pacific (WB),,2020,2.6335154
Ecuador,ECU,1996,0.07406
Ecuador,ECU,1997,0.06263
Ecuador,ECU,1998,0.06517
Ecuador,ECU,2001,0.0515
Ecuador,ECU,2002,0.05534
Ecuador,ECU,2003,0.05735
Ecuador,ECU,2006,0.12863
Ecuador,ECU,2007,0.13194
Ecuador,ECU,2008,0.22779
Ecuador,ECU,2009,0.39463
Ecuador,ECU,2010,0.40297
Ecuador,ECU,2011,0.33991
Ecuador,ECU,2012,0.33236
Ecuador,ECU,2013,0.3799
Ecuador,ECU,2014,0.44266
Egypt,EGY,1996,0.2126
Egypt,EGY,1997,0.19756
Egypt,EGY,1998,0.1991
Egypt,EGY,1999,0.18651
Egypt,EGY,2000,0.19247
Egypt,EGY,2004,0.26994
Egypt,EGY,2005,0.24141
Egypt,EGY,2006,0.25903
Egypt,EGY,2007,0.2551
Egypt,EGY,2008,0.27024
Egypt,EGY,2009,0.43312
Egypt,EGY,2010,0.43345
Egypt,EGY,2011,0.53154
Egypt,EGY,2012,0.50899
Egypt,EGY,2013,0.63895
Egypt,EGY,2014,0.63649
Egypt,EGY,2015,0.71858
Egypt,EGY,2016,0.70848
Egypt,EGY,2017,0.67941
Egypt,EGY,2018,0.72388
Egypt,EGY,2019,0.83715
Egypt,EGY,2020,0.96218
El Salvador,SLV,1998,0.08818
El Salvador,SLV,2007,0.1056
El Salvador,SLV,2008,0.13399
El Salvador,SLV,2009,0.0909
El Salvador,SLV,2010,0.07806
El Salvador,SLV,2011,0.0355
El Salvador,SLV,2012,0.03397
El Salvador,SLV,2013,0.06387
El Salvador,SLV,2014,0.09377
El Salvador,SLV,2015,0.14348
El Salvador,SLV,2016,0.14493
El Salvador,SLV,2017,0.18078
El Salvador,SLV,2018,0.16531
El Salvador,SLV,2019,0.17467
Estonia,EST,1998,0.56501
Estonia,EST,1999,0.67708
Estonia,EST,2000,0.6
Estonia,EST,2001,0.69839
Estonia,EST,2002,0.71203
Estonia,EST,2003,0.76465
Estonia,EST,2004,0.84584
Estonia,EST,2005,0.91705
Estonia,EST,2006,1.11277
Estonia,EST,2007,1.05874
Estonia,EST,2008,1.25188
Estonia,EST,2009,1.39679
Estonia,EST,2010,1.57899
Estonia,EST,2011,2.30522
Estonia,EST,2012,2.12481
Estonia,EST,2013,1.72412
Estonia,EST,2014,1.43023
Estonia,EST,2015,1.4675
Estonia,EST,2016,1.24306
Estonia,EST,2017,1.27685
Estonia,EST,2018,1.41624
Estonia,EST,2019,1.63337
Estonia,EST,2020,1.79247
Eswatini,SWZ,2015,0.26754
Ethiopia,ETH,2005,0.17917
Ethiopia,ETH,2007,0.17089
Ethiopia,ETH,2010,0.24137
Ethiopia,ETH,2013,0.60474
Ethiopia,ETH,2017,0.27437
Europe and Central Asia (WB),,1996,1.6517078
Europe and Central Asia (WB),,1997,1.6362886
Europe and Central Asia (WB),,1998,1.6046432
Europe and Central Asia (WB),,1999,1.6975145
Europe and Central Asia (WB),,2000,1.6823714
Europe and Central Asia (WB),,2001,1.7190353
Europe and Central Asia (WB),,2002,1.695204
Europe and Central Asia (WB),,2003,1.7192844
Europe and Central Asia (WB),,2004,1.694606
Europe and Central Asia (WB),,2005,1.6493021
Europe and Central Asia (WB),,2006,1.656869
Europe and Central Asia (WB),,2007,1.6576234
Europe and Central Asia (WB),,2008,1.7199986
Europe and Central Asia (WB),,2009,1.8107216
Europe and Central Asia (WB),,2010,1.7741579
Europe and Central Asia (WB),,2011,1.780357
Europe and Central Asia (WB),,2012,1.8240174
Europe and Central Asia (WB),,2013,1.8053461
Europe and Central Asia (WB),,2014,1.8430953
Europe and Central Asia (WB),,2015,1.9050667
Europe and Central Asia (WB),,2016,1.8853898
Europe and Central Asia (WB),,2017,1.9472256
Europe and Central Asia (WB),,2018,1.9413218
Europe and Central Asia (WB),,2019,2.006795
Europe and Central Asia (WB),,2020,2.109941
European Union (27),,1996,1.6985879
European Union (27),,1997,1.7308176
European Union (27),,1998,1.6995821
European Union (27),,1999,1.7838778
European Union (27),,2000,1.7629133
European Union (27),,2001,1.8214531
European Union (27),,2002,1.789714
European Union (27),,2003,1.82546
European Union (27),,2004,1.7936122
European Union (27),,2005,1.7817968
European Union (27),,2006,1.8024148
European Union (27),,2007,1.7964343
European Union (27),,2008,1.8736953
European Union (27),,2009,1.968166
European Union (27),,2010,1.9690105
European Union (27),,2011,2.0158303
European Union (27),,2012,2.076866
European Union (27),,2013,2.096733
European Union (27),,2014,2.118044
European Union (27),,2015,2.1182249
European Union (27),,2016,2.1171753
European Union (27),,2017,2.1525798
European Union (27),,2018,2.185032
European Union (27),,2019,2.2239509
European Union (27),,2020,2.323652
Faeroe Islands,,2003,0.85705
Finland,FIN,1996,2.45256
Finland,FIN,1997,2.62158
Finland,FIN,1998,2.78442
Finland,FIN,1999,3.05619
Finland,FIN,2000,3.24138
Finland,FIN,2001,3.19372
Finland,FIN,2002,3.25308
Finland,FIN,2003,3.29822
Finland,FIN,2004,3.30907
Finland,FIN,2005,3.3237
Finland,FIN,2006,3.33215
Finland,FIN,2007,3.33704
Finland,FIN,2008,3.53697
Finland,FIN,2009,3.73402
Finland,FIN,2010,3.70532
Finland,FIN,2011,3.61806
Finland,FIN,2012,3.39832
Finland,FIN,2013,3.27137
Finland,FIN,2014,3.14751
Finland,FIN,2015,2.87196
Finland,FIN,2016,2.72442
Finland,FIN,2017,2.72787
Finland,FIN,2018,2.75742
Finland,FIN,2019,2.79683
Finland,FIN,2020,2.93544
France,FRA,1996,2.2228
France,FRA,1997,2.14699
France,FRA,1998,2.09476
France,FRA,1999,2.10767
France,FRA,2000,2.09346
France,FRA,2001,2.13804
France,FRA,2002,2.17449
France,FRA,2003,2.11994
France,FRA,2004,2.09461
France,FRA,2005,2.05151
France,FRA,2006,2.05094
France,FRA,2007,2.02451
France,FRA,2008,2.06117
France,FRA,2009,2.21207
France,FRA,2010,2.17857
France,FRA,2011,2.19161
France,FRA,2012,2.22707
France,FRA,2013,2.23703
France,FRA,2014,2.27592
France,FRA,2015,2.22702
France,FRA,2016,2.22238
France,FRA,2017,2.19888
France,FRA,2018,2.19666
France,FRA,2019,2.19179
France,FRA,2020,2.35493
Gabon,GAB,2007,0.41633
Gabon,GAB,2008,0.5109
Gabon,GAB,2009,0.57924
Gambia,GMB,2008,0.01261
Gambia,GMB,2009,0.01086
Gambia,GMB,2011,0.0848
Gambia,GMB,2018,0.06933
Georgia,GEO,1996,0.33088
Georgia,GEO,1997,0.3424
Georgia,GEO,1998,0.35384
Georgia,GEO,1999,0.28769
Georgia,GEO,2000,0.2153
Georgia,GEO,2001,0.23848
Georgia,GEO,2002,0.18574
Georgia,GEO,2003,0.2176
Georgia,GEO,2004,0.2442
Georgia,GEO,2005,0.17658
Georgia,GEO,2013,0.07856
Georgia,GEO,2014,0.17318
Georgia,GEO,2015,0.29928
Georgia,GEO,2016,0.28586
Georgia,GEO,2017,0.27023
Georgia,GEO,2018,0.28052
Georgia,GEO,2019,0.28468
Georgia,GEO,2020,0.3008
Germany,DEU,1996,2.14461
Germany,DEU,1997,2.18832
Germany,DEU,1998,2.21613
Germany,DEU,1999,2.34779
Germany,DEU,2000,2.40982
Germany,DEU,2001,2.40437
Germany,DEU,2002,2.43622
Germany,DEU,2003,2.47461
Germany,DEU,2004,2.43519
Germany,DEU,2005,2.44193
Germany,DEU,2006,2.47232
Germany,DEU,2007,2.46048
Germany,DEU,2008,2.61513
Germany,DEU,2009,2.74266
Germany,DEU,2010,2.73024
Germany,DEU,2011,2.80555
Germany,DEU,2012,2.88166
Germany,DEU,2013,2.83599
Germany,DEU,2014,2.87784
Germany,DEU,2015,2.93379
Germany,DEU,2016,2.94039
Germany,DEU,2017,3.0471
Germany,DEU,2018,3.10788
Germany,DEU,2019,3.1677
Germany,DEU,2020,3.14426
Ghana,GHA,2007,0.23157
Ghana,GHA,2010,0.37655
Greece,GRC,1997,0.4291
Greece,GRC,1999,0.56823
Greece,GRC,2001,0.55948
Greece,GRC,2003,0.54654
Greece,GRC,2004,0.5273
Greece,GRC,2005,0.57896
Greece,GRC,2006,0.56118
Greece,GRC,2007,0.57655
Greece,GRC,2008,0.66183
Greece,GRC,2009,0.62557
Greece,GRC,2010,0.60347
Greece,GRC,2011,0.68426
Greece,GRC,2012,0.71005
Greece,GRC,2013,0.81478
Greece,GRC,2014,0.83998
Greece,GRC,2015,0.96605
Greece,GRC,2016,1.00529
Greece,GRC,2017,1.15228
